Date,Open,High,Low,Close,Volume,- SPREAD -(High-Low),- SPREAD -(Open-Close)
02-11-2021,2887.90,2917.25,2865.65,2900.05,4355642,51.60,-12.15
01-11-2021,2873.00,2947.90,2838.05,2887.95,4951039,109.85,-14.95
