Date,Open,High,Low,Close
Nov 2021,2873.00,2947.90,2838.05,2900.05
Oct 2021,2738.60,2948.00,2693.60,2844.70
Sep 2021,2790.00,2875.85,2717.70,2754.30
Aug 2021,2466.00,2812.00,2425.10,2798.50
July 2021,2480.00,2558.00,2380.00,2441.15
June 2021,2567.00,2635.40,2451.00,2475.25
May 2021,2365.00,2580.35,2354.00,2552.85
